ZCTA5,lon,lat
92145,-117.01747,32.926637
92147,-117.21874,32.722523
92154,-117.05507,32.576214
92155,-117.15902,32.675363
92173,-117.05274,32.558114
92201,-116.23479,33.713659
92203,-116.24903,33.750169
92210,-116.3386,33.715524
92211,-116.32001,33.758855
92220,-116.89727,33.92697
92222,-114.54671,32.789972
92223,-116.98189,33.946908
92225,-114.70132,33.597101
92227,-115.5343,32.979604
92230,-116.77332,33.907496
92231,-115.49177,32.68021
92233,-115.49873,33.146082
92234,-116.46627,33.816996
92236,-116.18607,33.678696
92239,-115.39262,33.746919
92240,-116.50128,33.955925
92241,-116.40496,33.904921
92242,-114.36133,34.137407
92243,-115.56392,32.786214
92249,-115.53208,32.73555
92250,-115.37766,32.811939
92251,-115.61662,32.833223
92252,-116.30911,34.145034
92253,-116.28934,33.683342
92254,-116.03043,33.561717
92256,-116.56899,34.063495
92257,-115.57728,33.295467
92258,-116.54955,33.92164
92259,-115.99052,32.734806
92260,-116.38095,33.728952
92262,-116.53635,33.844958
92264,-116.51919,33.801357
92266,-114.73988,33.418624
92267,-114.17275,34.262897
92268,-116.52987,34.185428
92270,-116.42173,33.773813
92273,-115.68948,32.794286
92274,-116.11655,33.536621
92275,-115.95749,33.292573
92276,-116.38078,33.817725
92277,-116.0632,34.162367
92278,-116.05534,34.232227
92280,-114.52185,34.13923
92281,-115.62295,33.037845
92282,-116.67551,33.935286
92283,-114.6194,32.756835
92284,-116.41593,34.132963
92285,-116.42437,34.294096
92301,-117.42636,34.545434
92304,-115.60053,34.566166
92305,-116.96059,34.145687
92307,-117.21439,34.53023
92308,-117.20158,34.468915
92309,-116.07827,35.267494
92310,-116.69493,35.262615
92311,-117.03266,34.886857
92313,-117.31388,34.031091
92314,-116.8301,34.258167
92315,-116.89639,34.242538
92316,-117.39882,34.064939
92317,-117.23002,34.243748
92318,-117.23497,34.049716
92320,-117.04358,33.992037
92321,-117.1688,34.253757
92322,-117.32235,34.251349
92323,-115.4138,35.189585
92324,-117.32209,34.066707
92325,-117.28105,34.241608
92327,-116.86812,34.863602
92328,-116.79765,36.528407
92332,-115.32094,34.958311
92333,-116.94206,34.270921
92335,-117.44915,34.089758
92336,-117.46003,34.126635
92337,-117.47013,34.044928
92338,-116.22301,34.752447
92339,-116.91655,34.084163
92341,-117.0753,34.23947
92342,-117.33885,34.747366
92344,-117.38368,34.404851
92345,-117.30251,34.421821
92346,-117.20047,34.124475
92347,-117.18135,34.928098
92352,-117.20207,34.259254
92354,-117.24909,34.051787
92356,-116.93276,34.443147
92358,-117.50063,34.250866
92359,-117.11752,34.070474
92363,-114.59741,34.810325
92364,-115.4434,35.42986
92365,-116.66812,34.875254
92368,-117.33694,34.641441
92371,-117.53908,34.446307
92372,-117.62821,34.440924
92373,-117.18607,34.041642
92374,-117.16544,34.065862
92376,-117.37558,34.107012
92377,-117.40251,34.151988
92378,-117.22774,34.228596
92382,-117.11278,34.209656
92384,-116.25923,35.981279
92385,-117.18163,34.23682
92386,-116.82958,34.243329
92389,-116.21007,35.85271
92391,-117.23069,34.240462
92392,-117.37614,34.486308
92394,-117.34468,34.536754
92395,-117.29828,34.498812
92397,-117.62801,34.357664
92398,-116.84059,34.910825
92399,-117.04792,34.0293
92401,-117.28962,34.111085
92404,-117.2618,34.142078
92405,-117.29674,34.14029
92407,-117.3337,34.173195
92408,-117.27205,34.080914
92410,-117.2963,34.107658
92411,-117.31842,34.121844
92501,-117.36932,33.995403
92503,-117.46047,33.914053
92504,-117.41105,33.929097
92505,-117.48641,33.919325
92506,-117.37255,33.943465
92507,-117.33792,33.975967
92508,-117.32047,33.89349
92509,-117.44731,33.997961
92518,-117.27078,33.887941
92530,-117.36041,33.667182
92532,-117.28986,33.682026
92536,-116.82916,33.487797
92539,-116.67053,33.540456
92543,-116.97367,33.74121
92544,-116.92289,33.737137
92545,-117.01446,33.741069
92548,-117.11387,33.747619
92549,-116.72346,33.74569
92551,-117.22215,33.888486
92553,-117.24081,33.923381
92555,-117.18743,33.91464
92557,-117.24883,33.955614
92561,-116.55296,33.613567
92562,-117.21559,33.576413
92563,-117.14897,33.565291
92567,-117.12968,33.806245
92570,-117.27881,33.796725
92571,-117.20994,33.816863
92582,-116.99515,33.787635
92583,-116.95235,33.783595
92584,-117.17144,33.669875
92585,-117.17002,33.733331
92586,-117.19803,33.705076
92587,-117.25279,33.690681
92590,-117.19378,33.485921
92591,-117.13247,33.526068
92592,-117.09162,33.488929
92595,-117.25975,33.613352
92596,-117.10106,33.6143
92602,-117.77492,33.729945
92603,-117.79918,33.639595
92604,-117.7878,33.68806
92606,-117.8056,33.696257
92610,-117.66068,33.686834
92612,-117.82927,33.661028
92614,-117.81734,33.675315
92617,-117.83494,33.644351
92618,-117.76473,33.669279
92620,-117.75999,33.709564
92624,-117.66438,33.459717
92625,-117.86737,33.600768
92626,-117.90905,33.678273
92627,-117.91909,33.647685
92629,-117.70114,33.47779
92630,-117.68814,33.639793
92637,-117.72469,33.608609
92646,-117.96859,33.668515
92647,-118.00377,33.72112
92648,-118.00156,33.67616
92649,-118.04469,33.719833
92651,-117.76903,33.538167
92653,-117.70186,33.594544
92655,-117.98476,33.744922
92656,-117.72817,33.579007
92657,-117.82972,33.60051
92660,-117.8752,33.632026
92661,-117.90148,33.602458
92662,-117.89329,33.606537
92663,-117.9281,33.622522
92672,-117.61281,33.427369
92673,-117.61391,33.464777
92675,-117.66167,33.502727
92676,-117.61525,33.730282
92677,-117.70118,33.53016
92678,-117.58565,33.670353
92679,-117.5899,33.628491
92683,-117.9911,33.75321
92688,-117.60652,33.633563
92691,-117.66596,33.613677
92692,-117.64345,33.610328
92694,-117.63998,33.552742
92701,-117.86149,33.746477
92703,-117.90267,33.747242
92704,-117.90575,33.726124
92705,-117.82056,33.762545
92706,-117.88265,33.764165
92707,-117.87164,33.717516
92708,-117.95225,33.710945
92780,-117.82261,33.73636
92782,-117.78779,33.735336
92801,-117.95552,33.842407
92802,-117.92356,33.80653
92804,-117.97769,33.818485
92805,-117.90712,33.835425
92806,-117.87698,33.837341
92807,-117.78918,33.850826
92808,-117.74067,33.856948
92821,-117.89555,33.924279
92823,-117.83486,33.922768
92831,-117.89079,33.881479
92832,-117.92907,33.866238
92833,-117.96262,33.874623
92835,-117.90854,33.901986
92840,-117.93039,33.785618
92841,-117.97563,33.786381
92843,-117.93063,33.76376
92844,-117.97106,33.765952
92845,-118.02705,33.783488
92860,-117.55489,33.924907
92861,-117.81093,33.817048
92865,-117.84574,33.830645
92866,-117.84496,33.784136
92867,-117.82613,33.811044
92868,-117.87721,33.786442
92869,-117.79967,33.790988
92870,-117.85732,33.878891
92879,-117.53652,33.882589
92880,-117.58501,33.944226
92881,-117.54832,33.839389
92882,-117.59369,33.864735
92883,-117.4853,33.771263
92886,-117.80443,33.89039
92887,-117.74058,33.880433
93001,-119.28778,34.292477
93003,-119.22205,34.269921
93004,-119.16939,34.278679
93010,-119.04955,34.231347
93012,-118.99313,34.222623
93013,-119.5196,34.402424
93015,-118.91544,34.401276
93021,-118.87906,34.279641
93022,-119.30087,34.402017
93023,-119.25984,34.445006
93030,-119.1757,34.206185
93033,-119.17267,34.168265
93035,-119.21619,34.183908
93036,-119.1759,34.229669
93040,-118.79129,34.414399
93041,-119.18959,34.159633
93042,-119.53202,33.273114
93043,-119.20442,34.17206
93060,-119.07316,34.354445
93063,-118.69838,34.279445
93064,-118.70015,34.248274
93065,-118.76984,34.264697
93066,-119.00821,34.278287
93067,-119.59769,34.422327
93101,-119.71003,34.419503
93103,-119.68203,34.428254
93105,-119.73583,34.442065
93108,-119.63601,34.435007
93109,-119.71967,34.403449
93110,-119.76618,34.442389
93111,-119.80336,34.442113
93117,-119.86411,34.427757
93201,-119.48732,35.886772
93202,-119.70784,36.312941
93203,-118.83461,35.200729
93204,-120.12636,35.990766
93205,-118.47736,35.583426
93206,-119.46865,35.409278
93207,-118.64483,35.878561
93208,-118.61442,36.137019
93210,-120.32328,36.144076
93212,-119.55887,36.078344
93215,-119.25676,35.775813
93216,-119.27002,35.775646
93218,-119.04586,35.888482
93219,-119.27514,35.885642
93220,-118.85463,35.348864
93221,-119.13666,36.300364
93222,-119.15826,34.845322
93223,-119.20787,36.303236
93224,-119.58065,35.227908
93225,-118.99343,34.81991
93226,-118.72,35.732801
93230,-119.65061,36.33605
93234,-120.09752,36.202574
93235,-119.21922,36.385692
93238,-118.43032,35.756856
93239,-119.96615,36.012957
93240,-118.43839,35.619293
93241,-118.9143,35.25746
93242,-119.71022,36.436056
93243,-118.88566,34.836769
93244,-119.02599,36.382703
93245,-119.80819,36.296019
93247,-119.08798,36.207649
93249,-119.71549,35.619812
93250,-119.23079,35.676804
93251,-119.66179,35.38356
93252,-119.39684,35.061985
93254,-119.69032,34.944012
93255,-118.19778,35.690061
93256,-119.28914,35.964674
93257,-119.02984,36.06863
93258,-119.14707,36.054653
93260,-118.65512,35.811527
93261,-119.10863,35.799105
93262,-118.70326,36.613619
93263,-119.28095,35.49812
93265,-118.82005,36.131032
93266,-119.8281,36.18665
93267,-119.0765,36.143841
93268,-119.45465,35.149659
93270,-119.03528,35.959723
93271,-118.88652,36.435796
93272,-119.31731,36.058447
93274,-119.34021,36.204909
93276,-119.35389,35.297854
93277,-119.32379,36.309093
93280,-119.36182,35.593135
93282,-119.51852,36.133288
93283,-118.29875,35.6458
93285,-118.46826,35.709136
93286,-119.1001,36.419533
93287,-118.88096,35.708458
93291,-119.32772,36.34992
93292,-119.26012,36.33327
93301,-119.01843,35.387462
93304,-119.02295,35.338816
93305,-118.98347,35.387826
93306,-118.9319,35.386739
93307,-118.98564,35.324289
93308,-119.04476,35.42316
93309,-119.06303,35.338633
93311,-119.11561,35.321089
93312,-119.12124,35.396755
93313,-119.05512,35.28862
93314,-119.174,35.378625
93401,-120.65041,35.260984
93402,-120.8343,35.31683
93405,-120.67999,35.29404
93420,-120.57788,35.114798
93422,-120.66634,35.479252
93424,-120.72973,35.190033
93426,-120.9615,35.820714
93427,-120.19825,34.617021
93428,-121.0854,35.557786
93429,-120.5327,34.838259
93430,-120.89371,35.444896
93432,-120.48572,35.474057
93433,-120.61802,35.120242
93434,-120.57763,34.96316
93435,-121.03164,35.500961
93436,-120.46023,34.658532
93437,-120.53256,34.752243
93440,-120.27185,34.741081
93441,-120.11052,34.670423
93442,-120.84924,35.379698
93444,-120.49633,35.031956
93445,-120.60921,35.101895
93446,-120.67488,35.630843
93447,-120.6414,35.664733
93449,-120.64995,35.149384
93450,-120.90147,36.026275
93451,-120.65779,35.764152
93452,-121.15315,35.62314
93453,-120.45517,35.373041
93454,-120.41913,34.955213
93455,-120.43012,34.884324
93458,-120.44604,34.955187
93460,-120.0783,34.626723
93461,-120.36655,35.651671
93463,-120.13314,34.60339
93465,-120.70192,35.547801
93501,-118.17721,35.033175
93505,-117.94642,35.130323
93510,-118.19098,34.487505
93512,-118.50156,37.80877
93513,-118.28709,37.169391
93514,-118.42594,37.377582
93516,-117.66445,35.003655
93517,-119.23249,38.254281
93518,-118.46272,35.393574
93519,-117.9728,35.291586
93522,-117.59157,36.27073
93523,-117.9006,34.959004
93524,-117.90746,34.923809
93526,-118.20786,36.818881
93527,-117.83218,35.683239
93528,-117.63695,35.37083
93529,-119.09203,37.771075
93530,-117.87712,36.489551
93531,-118.60309,35.236267
93532,-118.43057,34.670011
93534,-118.15058,34.69259
93535,-118.07267,34.685056
93536,-118.21634,34.676875
93541,-119.12882,37.996808
93543,-117.95806,34.546738
93544,-117.79848,34.488987
93545,-118.06187,36.595786
93546,-118.94417,37.63087
93549,-118.00172,36.269956
93550,-118.09178,34.567847
93551,-118.18578,34.603611
93552,-118.03539,34.563164
93553,-117.90293,34.486838
93554,-117.66047,35.371638
93555,-117.6812,35.623985
93558,-117.62036,35.355622
93560,-118.19079,34.860915
93561,-118.52517,35.128159
93562,-117.37624,35.774483
93563,-117.73786,34.389054
93591,-117.84087,34.598764
93592,-117.36845,35.86789
93601,-119.72544,37.382357
93602,-119.46248,37.07171
93603,-118.99178,36.636846
93604,-119.553,37.3421
93605,-119.24858,37.203166
93606,-120.01899,36.804508
93608,-120.3488,36.503908
93609,-119.84265,36.537221
93610,-120.23222,37.103635
93611,-119.67955,36.821439
93612,-119.71263,36.812703
93614,-119.73398,37.214215
93615,-119.2858,36.519833
93616,-119.59477,36.656739
93618,-119.39405,36.537913
93619,-119.65581,36.857185
93620,-120.62998,36.994283
93621,-119.12384,36.750124
93622,-120.47572,36.855602
93623,-119.64041,37.477796
93624,-120.15444,36.385539
93625,-119.677,36.628547
93626,-119.6856,37.000831
93627,-120.08043,36.539117
93628,-118.92305,36.775794
93630,-120.07242,36.729347
93631,-119.55055,36.514401
93633,-118.95154,36.730948
93634,-119.09638,37.223121
93635,-120.84261,37.064818
93636,-119.88503,36.954022
93637,-120.08151,36.949192
93638,-120.05361,36.982077
93640,-120.38578,36.756438
93641,-119.04807,36.688524
93643,-119.51686,37.226196
93644,-119.64206,37.338546
93645,-119.64646,37.163843
93646,-119.31836,36.623303
93647,-119.28494,36.545883
93648,-119.53874,36.610933
93650,-119.80027,36.840077
93651,-119.5148,37.004948
93652,-119.90455,36.59973
93653,-119.88045,37.238288
93654,-119.44085,36.601875
93656,-119.87805,36.436067
93657,-119.54927,36.720617
93660,-120.18749,36.605113
93662,-119.61939,36.571907
93664,-119.31207,37.089216
93665,-120.65323,36.963978
93666,-119.33857,36.546556
93667,-119.39902,36.988641
93668,-120.25454,36.646075
93669,-119.53865,37.265717
93673,-119.48445,36.454746
93675,-119.18785,36.703721
93701,-119.78743,36.749108
93702,-119.75384,36.738936
93703,-119.76064,36.768708
93704,-119.8012,36.797203
93705,-119.82875,36.786752
93706,-119.81789,36.702894
93710,-119.7646,36.822784
93711,-119.83431,36.830073
93720,-119.75547,36.859788
93721,-119.78479,36.737946
93722,-119.87443,36.801191
93723,-119.92282,36.797671
93725,-119.73968,36.688312
93726,-119.76173,36.79443
93727,-119.70214,36.748787
93728,-119.81359,36.758179
93730,-119.75664,36.888673
93901,-121.6603,36.668412
93905,-121.6152,36.683033
93906,-121.64105,36.710402
93907,-121.66635,36.756865
93908,-121.66904,36.5955
93920,-121.68491,36.165981
93921,-121.92114,36.554833
